Sveiki, žiūrovai. Na ką, | Здравствуйте, зрители. Ну что,
Taipogi vandenį suminkština, | Также воду смягчают,
sumažina kalcio ir magnio kiekį vandeny. | уменьшают кальция и магния количество в воде.
Na, ir jeigu reikia, sumažina druskos | Ну, и если нужно, уменьшают соли
kiekį vandeny. | количество в воде.
Po valymo įrenginių mūsų švarus vanduo | После очистных сооружений наша чистая вода
tiekiamas jau toliau link rezervuaro. | подаётся уже дальше к резервуару.
Kas tai yra? Tai yra didžiuliai uždengti | Что это есть? Это есть огромные закрытые
vandens rezervuarai. | водные резервуары.
Sakys: "Kam jie reikalingi? | Скажут: «Зачем они нужны?
Oi tam, kad jeigu būtų didžiulis vandens | Ой затем, что если бы был огромный воды
paėmimas, o galbūt net ir gaisras, o gal | забор, а может даже и пожар, а может
šiaip kažkoks nenumatytas atvejis, tai | просто какой-то непредвиденный случай, то
taip mes turėsime | так мы будем иметь
nenutraukime vandens šaltinį. Taip | непрерывный воды источник. Так
čiapose nepajausime vandens svyravimo. | в кранах не почувствуем воды колебания.
Pavyzdžiui, naktį mes miegame, štai | Например, ночью мы спим, вот
rezervuarai pildosi. Iš ryto prabunda, | резервуары наполняются. Утром просыпаются,
žmonės pradeda gaminti sau pusryčius. | люди начинают готовить себе завтрак.
Iš tų rezervuarų rezervuarų mes | Из тех резервуаров резервуаров мы
papildome savo geriame vandenį. Ir taip | пополняем свою питьевую воду. И так
ciklas kartojasi. dieną mes darbe | цикл повторяется. днём мы на работе
rezervuarai pasipildo. | резервуары пополняются.
Grįžtam | Возвращаемся
iš darbo. Jau mes turime vandenį | с работы. Уже мы имеем воду
ir čia vienintelė jų paskirtis. Dėka jų | и здесь единственное их назначение. Благодаря им
mes turime pastoviai vandenį. | мы имеем постоянно воду.
Sekantis žingsnis. Vanduo keliauja į | Следующий шаг. Вода направляется в
pompavimo stotelę ir jos tikslas jau | насосную станцию и её цель уже
vandenį paduoti link miesto mums | воду подать к городу нам
vartotojams. | потребителям.
Na, o toliau vandeniukas keliauja | Ну, а дальше водичка движется
po žeme. Dažnai mes važiuojant | под землёй. Часто мы проезжая
keliais pravažiuojam pro metalinius | дорогами проезжаем мимо металлических
dangčius. Žinokit, apačioj teka mūsų | люков. Знайте, внизу течёт наша
geriamas vanduo ir taip jisai ir | питьевая вода и так она и
išdėstytas per visą miestą. | распределена по всему городу.
Būtinai jisai yra užedintas | Обязательно она есть закольцована
tokia gyvatėlė. Sakysit, o kam gi to | такой змейкой. Скажете, а зачем же это
reikia? Ogi avarijos metu, kad mes | нужно? А при аварии, чтобы мы
nebliktume be vandens, uždaroma yra | не остались без воды, закрывается есть
viena magistralės pusė, o mes galim | одна магистрали сторона, а мы можем
maitinimą gaut iš kitos pusės. Taip | питание получить с другой стороны. Так
vanduo nenutrūkstamai teka į mūsų namus\. | вода непрерывно течёт в наши дома.
